InHappinessId,ExCountryID,happinessRating,gdpPerCapita,socialSupport,healthyLifeExpectancy,freedomLifeChoice,generosity,perceptionOfCorruption,dystopiaResidual,year
1,72,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,2020
2,48,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,2020
3,156,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,2020
4,68,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,2020
5,125,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,2020
6,119,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,2020
7,155,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,2020
8,120,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,2020
9,10,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,2020
10,100,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,2020
11,32,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,2020
12,9,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,2020
13,170,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,2020
14,80,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,2020
15,43,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,2020
16,78,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,2020
17,81,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,2020
18,171,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,2020
19,47,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243,2020
20,17,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,2020
21,169,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,2020
22,107,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,2020
23,74,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,2020
24,110,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,2020
25,158,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743,2020
26,172,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,2020
27,139,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,2020
28,150,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,2020
29,55,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,2020
30,82,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,2020
31,143,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,2020
32,25,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,2020
33,145,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,2020
34,57,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,2020
35,90,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,2020
36,128,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,2020
37,144,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,2020
38,173,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,2020
39,36,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,2020
40,13,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,2020
41,99,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,2020
42,163,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763,2020
43,132,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,2020
44,38,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,2020
45,46,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,2020
46,121,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,2020
47,136,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,2020
48,91,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,2020
49,109,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,2020
50,88,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,2020
51,63,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,2020
52,131,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,2020
53,65,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,2020
54,161,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,2020
55,7,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,2020
56,61,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,2020
57,94,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,2020
58,53,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,2020
59,133,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,2020
60,85,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,2020
61,148,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,2020
62,86,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,2020
63,130,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,2020
64,141,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,2020
65,22,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,2020
66,126,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,2020
67,129,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,2020
68,51,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,2020
69,23,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,2020
70,111,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,2020
71,159,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835,2020
72,113,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,2020
73,137,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,2020
74,92,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652,2020
75,16,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,2020
76,216,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766,2020
77,54,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352,2.016179085,2020
78,64,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114,2020
79,44,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205,2020
80,98,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156,2020
81,112,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,2020
82,104,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815,2020
83,175,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936,2020
84,71,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488,2020
85,84,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501,2020
86,19,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,2020
87,105,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774,2020
88,41,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534,2020
89,11,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,2020
90,101,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957,2020
91,83,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281,2020
92,118,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892,2020
93,165,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713,2020
94,37,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879,2020
95,166,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372,2020
96,27,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0,1.294961452,2020
97,114,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472,2020
98,31,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842,2020
99,174,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086,2020
100,3,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729,2020
101,140,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949,2020
102,58,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809,2020
103,122,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577,2020
104,93,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639,2020
105,2,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,2020
106,30,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037,2020
107,14,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898,2020
108,76,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552,2020
109,147,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302,2020
110,75,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992,1.752173662,2020
111,95,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225,2020
112,28,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418,2020
113,77,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465,2020
114,106,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232,2020
115,123,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487,2020
116,8,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,2020
117,79,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831,2020
118,73,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513,1.286969423,2020
119,87,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053,2020
120,115,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202,2020
121,89,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575,2020
122,117,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161,2020
123,168,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334,2020
124,97,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851,2020
125,127,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652,1.693985701,2020
126,167,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093,2020
127,35,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651,2020
128,164,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742,2020
129,108,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,2020
130,151,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,2020
131,42,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304,2020
132,154,4.308100224,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,1.686207294,2020
133,116,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,2020
134,39,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907,2020
135,162,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,2020
136,67,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215,2020
137,102,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,2020
138,56,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245,2020
139,142,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,2020
140,29,3.775300026,0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,2020
141,177,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333,2020
142,59,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,2020
143,96,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964,2020
144,69,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,2020
145,103,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,2020
146,176,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721,2020
147,24,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,2020
148,160,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,2020
149,34,3.475899935,0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544,2020
150,138,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,2020
151,178,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,2020
152,149,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278,2020
153,1,2.566900015,0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646,2020
154,72,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.714,2019
155,48,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2.394,2019
156,125,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2.241,2019
157,68,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.401,2019
158,119,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2.394,2019
159,156,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2.272,2019
160,155,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2.246,2019
161,120,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2.126,2019
162,32,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2.192,2019
163,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2.377,2019
164,9,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2.093,2019
165,43,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2.934,2019
166,80,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2.665,2019
167,100,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1.954,2019
168,170,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2.111,2019
169,78,7.021,1.499,1.553,0.999,0.516,0.298,0.31,1.846,2019
170,81,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.15,2019
171,17,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2.234,2019
172,171,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2.266,2019
173,47,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2.637,2019
174,169,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2.145,2019
175,107,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1.817,2019
176,110,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.761,2019
177,74,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2.021,2019
178,158,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2.044,2019
179,36,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2.396,2019
180,55,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2.833,2019
181,139,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2.169,2019
182,135,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1.564,2019
183,150,6.354,1.286,1.484,1.062,0.362,0.153,0.079,1.928,2019
184,128,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2.141,2019
185,25,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2.48,2019
186,172,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2.013,2019
187,143,6.262,1.572,1.463,1.141,0.556,0.271,0.453,0.806,2019
188,57,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2.831,2019
189,82,6.223,1.294,1.488,1.039,0.231,0.158,0.03,1.983,2019
190,13,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1.697,2019
191,144,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2.098,2019
192,216,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2.081,2019
193,132,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2.004,2019
194,173,6.174,0.745,1.529,0.756,0.631,0.322,0.24,1.951,2019
195,99,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2.202,2019
196,38,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2.286,2019
197,145,6.118,1.258,1.523,0.953,0.564,0.144,0.057,1.619,2019
198,121,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2.489,2019
199,90,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2.471,2019
200,7,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2.094,2019
201,136,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2.301,2019
202,46,6.046,1.263,1.223,1.042,0.406,0.19,0.041,1.881,2019
203,53,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2.225,2019
204,91,6.021,1.5,1.319,0.808,0.493,0.142,0.097,1.662,2019
205,161,6.008,1.05,1.409,0.828,0.557,0.359,0.028,1.777,2019
206,94,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2.073,2019
207,148,5.895,1.301,1.219,1.036,0.159,0.175,0.056,1.949,2019
208,63,5.893,1.237,1.528,0.874,0.495,0.103,0.161,1.495,2019
209,85,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2.125,2019
210,109,5.888,1.12,1.402,0.798,0.498,0.215,0.06,1.795,2019
211,86,5.886,1.327,1.419,1.088,0.445,0.069,0.14,1.398,2019
212,61,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2.323,2019
213,88,5.809,1.173,1.508,0.729,0.41,0.146,0.096,1.747,2019
214,22,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2.376,2019
215,65,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2.019,2019
216,129,5.743,0.855,1.475,0.777,0.514,0.184,0.08,1.858,2019
217,124,5.718,1.263,1.252,1.042,0.417,0.191,0.162,1.391,2019
218,130,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2.044,2019
219,133,5.693,1.221,1.431,0.999,0.508,0.047,0.025,1.462,2019
220,126,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2.924,2019
221,137,5.648,1.183,1.452,0.726,0.334,0.082,0.031,1.84,2019
222,131,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2.092,2019
223,141,5.603,1.004,1.383,0.854,0.282,0.137,0.039,1.904,2019
224,111,5.529,0.685,1.328,0.739,0.245,0.181,0,2.351,2019
225,98,5.525,1.044,1.303,0.673,0.416,0.133,0.152,1.804,2019
226,113,5.523,1.051,1.361,0.871,0.197,0.142,0.08,1.821,2019
227,159,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2.395,2019
228,44,5.432,1.155,1.266,0.914,0.296,0.119,0.022,1.66,2019
229,44,5.43,1.438,1.277,1.122,0.44,0.258,0.287,0.608,2019
230,51,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1.519,2019
